Borough,CensusTract,MeanCommute,Transit,Income,Poverty,Unemployment,WorkAtHome
Bronx,36005007400,45.4,46.4,44455,19.3,7.1,2.7
Bronx,36005007500,38.8,63.1,25452,31.7,8.5,2.7
Bronx,36005007700,40.2,60.2,26486,37.8,13.6,3.1
Bronx,36005008900,44.3,67.7,20849,32.5,6.5,4.1
Bronx,36005009800,48.3,49.8,57438,23.3,12.7,0.0
Bronx,36005012500,39.3,61.6,26348,42.9,13.5,3.0
Bronx,36005014900,41.6,52.9,27212,48.5,18.1,4.2
Bronx,36005019700,40.3,74.3,25875,35.7,9.3,3.1
Bronx,36005022000,42.0,81.6,23167,52.9,19.5,0.0
Bronx,36005022702,38.1,68.5,23500,34.8,17.4,10.1
Bronx,36005023100,42.1,82.4,24250,42.8,23.3,0.0
Bronx,36005023501,37.5,57.6,27316,50.8,10.2,1.5
Bronx,36005001600,38.8,45.5,32312,26.3,8.7,1.7
Bronx,36005003100,40.1,65.5,37250,18.1,6.6,0.0
Bronx,36005003800,41.3,47.3,37685,31.3,13.1,1.1
Bronx,36005004100,43.5,75.1,18636,53.3,19.2,0.8
Bronx,36005011900,44.3,76.8,22097,39.3,15.6,7.0
Bronx,36005011502,40.5,65.3,21765,47.6,18.5,2.7
Bronx,36005014100,43.8,70.6,32500,26.2,13.1,2.0
Bronx,36005015100,42.4,58.6,30339,28.2,10.4,1.8
Bronx,36005015300,43.7,71.1,19630,50.8,15.1,1.5
Bronx,36005022101,40.1,73.5,25870,41.8,11.6,6.2
Bronx,36005022102,39.7,76.4,18664,49.7,20.5,3.1
Bronx,36005022200,43.1,65.8,40331,28.7,14.0,0.7
Bronx,36005023800,40.9,46.1,50074,28.6,16.9,5.3
Bronx,36005022403,45.9,65.8,38333,25.2,15.7,6.6
Bronx,36005023703,40.7,71.2,27128,43.7,17.3,4.3
Bronx,36005024501,44.8,70.8,24864,45.4,19.4,2.5
Bronx,36005024502,39.4,62.5,25605,54.5,15.3,10.1
Bronx,36005022404,45.9,63.8,42070,20.6,6.4,2.2
Bronx,36005023704,43.8,58.8,20918,55.0,7.2,7.0
Bronx,36005026701,45.0,68.0,37061,29.4,12.0,1.1
Bronx,36005026702,40.9,56.1,39432,27.6,13.5,7.9
Bronx,36005027401,39.2,32.4,80673,4.5,9.9,0.5
Bronx,36005027402,34.9,22.8,71849,9.4,4.4,5.2
Bronx,36005042902,47.7,65.8,27553,34.8,23.4,2.1
Bronx,36005033000,46.9,73.8,37811,25.9,9.3,1.3
Bronx,36005035800,41.8,40.1,64957,6.1,18.2,3.4
Bronx,36005037100,42.3,56.1,19293,36.0,16.1,9.5
Bronx,36005038500,45.1,66.1,20229,54.0,17.3,3.2
Bronx,36005042100,36.1,56.6,36768,30.1,11.3,3.6
Bronx,36005045101,34.5,48.1,62286,3.1,7.8,1.9
Bronx,36005011800,34.7,25.6,83077,11.3,7.0,3.1
Bronx,36005020400,42.1,51.7,49519,18.1,20.5,2.5
Bronx,36005024800,37.8,45.6,52279,9.6,8.7,3.3
Bronx,36005040800,49.8,53.3,32244,26.0,16.7,9.6
Bronx,36005048400,42.9,49.4,69701,6.5,9.9,2.4
Bronx,36005024700,45.4,63.2,41455,29.3,8.1,3.4
Bronx,36005026602,42.3,55.5,40755,19.6,14.9,2.1
Bronx,36005036400,48.9,48.3,55833,5.5,11.7,2.8
Bronx,36005044902,44.8,46.7,62656,8.5,9.3,1.2
Bronx,36005022300,42.2,68.5,24277,41.4,15.3,2.2
Bronx,36005025400,34.5,35.4,50238,15.6,6.6,2.1
Bronx,36005029600,30.3,32.1,49013,14.4,9.3,6.9
Bronx,36005037600,51.9,62.0,50139,11.0,24.6,2.5
Bronx,36005002701,42.8,64.7,20153,52.6,15.2,1.6
Bronx,36005006500,35.9,73.5,21384,44.2,11.6,5.1
Bronx,36005006700,46.2,62.9,21016,47.1,14.6,5.7
Bronx,36005040702,41.1,69.4,29978,30.7,18.9,0.9
Bronx,36005015700,42.8,71.5,33785,26.7,22.6,1.4
Bronx,36005038000,39.7,58.6,33506,38.8,19.0,1.8
Bronx,36005002500,35.5,62.5,17226,50.5,9.4,2.7
Bronx,36005006100,37.5,64.5,48298,9.8,7.8,0.0
Bronx,36005022701,37.5,60.0,29426,30.1,13.2,5.1
Manhattan,36061011800,25.5,34.5,125588,6.5,3.4,8.6
Manhattan,36061015900,30.1,73.2,117900,10.9,1.3,9.1
Manhattan,36061024500,37.0,64.3,35394,30.8,10.3,6.2
Manhattan,36061002000,43.5,68.8,16778,48.1,14.1,0.0
Manhattan,36061003900,28.3,50.6,135250,6.2,2.8,9.6
Manhattan,36061004100,24.9,54.0,59570,18.5,5.8,2.9
Bronx,36005030200,45.8,51.7,51536,7.9,12.0,1.3
Bronx,36005034200,44.9,59.6,43304,17.5,17.5,0.0
Bronx,36005037000,43.8,41.9,51515,12.7,10.1,0.0
Bronx,36005037200,46.4,65.3,46250,19.0,17.3,0.0
Bronx,36005039902,41.4,67.4,24799,42.3,18.4,3.1
Bronx,36005042600,44.2,46.4,54306,16.6,13.8,1.3
Bronx,36005045800,53.2,70.3,16161,54.8,8.0,0.0
Bronx,36005046000,47.4,58.8,32340,29.5,15.0,2.2
Bronx,36005023900,40.8,69.6,20985,45.2,12.4,3.0
Bronx,36005024100,41.4,63.1,23856,38.6,15.9,4.8
Bronx,36005026601,42.7,54.9,52450,15.0,7.3,2.3
Bronx,36005028700,37.6,57.7,51692,24.6,10.7,4.6
Bronx,36005015500,45.0,72.7,21136,51.7,31.1,0.0
Bronx,36005023600,40.5,60.1,40903,32.2,13.3,1.1
Bronx,36005024300,41.3,62.3,19669,45.3,16.6,3.6
Manhattan,36061022000,37.6,76.5,47808,22.5,8.3,3.6
Manhattan,36061022301,38.6,85.0,37500,24.6,9.6,1.7
Manhattan,36061023300,36.0,73.0,41552,26.0,6.4,8.3
Manhattan,36061023400,34.9,73.6,38854,31.7,18.9,6.1
Manhattan,36061024700,35.8,68.9,40559,22.9,9.4,10.8
Manhattan,36061024900,42.2,64.0,37679,29.6,22.4,0.0
Manhattan,36061026100,40.1,68.0,29702,34.2,19.4,3.2
Manhattan,36061026300,38.4,61.7,29308,29.1,12.1,8.2
Manhattan,36061027500,40.8,56.8,91552,7.7,14.9,10.0
Manhattan,36061028500,42.4,76.1,36500,28.1,23.4,5.3
Manhattan,36061005900,22.4,47.2,103672,3.9,1.6,5.9
Manhattan,36061006700,23.4,51.1,88492,4.9,5.7,10.1
Manhattan,36061006900,26.4,44.9,183750,7.4,3.4,14.9
Manhattan,36061007000,24.5,43.8,101848,9.9,2.6,2.9
Manhattan,36061007300,23.0,49.5,97149,7.0,6.2,10.8
Manhattan,36061007600,23.4,36.5,103264,18.6,3.5,7.2
Manhattan,36061008100,23.8,55.9,111476,10.2,4.8,6.2
Manhattan,36061009100,23.4,51.6,111505,13.2,5.9,11.8
Manhattan,36061009300,30.4,37.8,76058,24.6,7.0,10.3
Manhattan,36061017700,33.7,66.3,77957,17.7,5.6,6.2
Manhattan,36061015601,35.3,67.0,88620,9.7,2.5,5.1
Manhattan,36061016001,33.5,41.8,222222,2.0,4.3,18.5
Manhattan,36061016200,33.8,58.3,21577,40.1,22.8,4.9
Manhattan,36061018600,35.4,80.6,24769,44.4,8.3,12.4
Manhattan,36061020000,32.4,70.6,66000,12.4,3.1,9.3
Manhattan,36061020102,32.9,71.8,54563,18.5,9.3,6.3
Manhattan,36061021400,40.3,77.9,44405,25.6,11.0,4.8
Manhattan,36061022102,37.9,73.8,42284,14.5,10.6,4.8
Manhattan,36061022800,39.9,66.0,33910,30.5,20.8,9.1
Manhattan,36061022900,41.5,70.7,34898,28.8,14.5,8.1
Manhattan,36061023502,43.8,76.9,29293,22.2,14.7,7.1
Manhattan,36061022600,36.2,78.4,36627,34.4,7.2,5.7
Manhattan,36061026500,41.5,77.5,61695,16.5,10.2,4.6
Manhattan,36061003800,28.7,58.1,64800,13.9,4.9,4.0
Manhattan,36061005800,25.8,46.3,157934,4.7,6.6,6.5
Manhattan,36061008800,29.9,30.6,100179,7.6,4.1,10.1
Manhattan,36061012000,24.5,31.5,148833,6.4,3.5,18.7
Manhattan,36061015500,29.7,64.0,106157,5.8,7.5,12.1
Manhattan,36061016600,30.8,71.9,35306,24.5,8.3,5.2
Manhattan,36061016700,26.7,67.7,113276,8.0,4.1,10.4
Manhattan,36061018100,30.8,69.7,70075,7.4,13.6,7.0
Manhattan,36061020901,34.5,84.0,32848,35.4,6.8,5.3
Manhattan,36061022302,41.1,71.6,24241,36.8,14.6,7.1
Manhattan,36061025300,32.6,66.8,36780,27.9,17.8,6.2
Bronx,36005004001,47.4,62.9,48056,16.6,6.8,0.0
Bronx,36005004300,39.6,66.4,21448,46.6,15.6,4.0
Bronx,36005005200,43.2,54.0,17756,49.3,13.5,9.0
Bronx,36005006400,46.7,63.8,30726,41.1,12.2,2.1
Bronx,36005007800,37.6,57.6,30437,31.0,15.7,3.1
Bronx,36005008500,37.9,66.7,27174,39.3,15.1,1.9
Bronx,36005013100,42.8,67.2,25271,35.5,11.5,4.9
Bronx,36005016400,31.6,35.4,60682,10.1,14.6,8.1
Bronx,36005018400,34.3,32.7,60518,14.5,7.1,3.1
Bronx,36005019300,44.6,67.9,23267,50.9,18.7,1.0
Bronx,36005021302,40.4,66.8,30362,34.8,12.9,0.0
Bronx,36005021602,48.6,74.6,41487,20.3,11.2,0.6
Bronx,36005021900,42.6,68.8,31292,29.1,9.1,1.9
Bronx,36005001900,45.4,63.9,37936,37.1,19.2,6.2
Bronx,36005004200,48.5,68.9,25741,40.5,21.0,1.0
Bronx,36005005100,43.6,92.2,18633,49.4,22.6,0.5
Bronx,36005005001,48.2,69.6,27456,34.4,14.5,3.3
Bronx,36005005002,48.2,75.1,28039,45.6,13.3,3.3
Bronx,36005005300,56.8,78.7,17719,54.7,23.7,0.0
Bronx,36005006300,41.4,73.3,32064,27.7,12.8,0.0
Bronx,36005007600,39.4,61.0,33465,34.6,9.4,2.3
Bronx,36005009000,43.8,47.8,27000,36.7,14.6,4.4
Bronx,36005009300,40.1,45.4,30159,40.7,9.5,3.9
Bronx,36005009600,38.0,52.4,41250,15.6,17.1,3.7
Bronx,36005011700,38.3,55.3,25483,33.4,16.8,5.6
Bronx,36005014701,46.0,78.7,14334,61.0,24.8,2.6
Bronx,36005028800,31.8,28.0,91125,4.9,3.6,1.4
Bronx,36005045102,34.6,33.9,80139,4.6,4.7,0.8
Bronx,36005034500,42.4,43.2,61938,15.3,6.9,6.6
Bronx,36005035600,45.3,47.4,60694,5.6,12.5,1.9
Bronx,36005035900,45.0,50.8,22250,44.4,23.1,8.2
Bronx,36005036800,46.2,48.1,43889,19.2,22.6,0.6
Bronx,36005038600,48.8,62.2,54904,13.3,13.2,0.2
Bronx,36005000400,45.0,44.6,74836,13.2,9.5,2.1
Bronx,36005000200,43.0,38.6,72034,20.0,7.7,0.0
Bronx,36005003500,41.6,64.7,26541,36.3,11.8,4.7
Manhattan,36061004200,21.6,47.7,146304,11.5,6.5,9.4
Manhattan,36061005700,25.4,54.3,150833,4.5,4.8,8.5
Manhattan,36061008700,23.5,52.9,122569,4.6,4.8,3.7
Manhattan,36061027100,40.1,60.5,49750,27.6,13.7,6.7
Manhattan,36061030300,41.4,69.9,54718,32.6,10.4,9.4
Manhattan,36061030700,44.6,70.8,71250,5.3,8.0,4.6
Manhattan,36061001002,40.9,70.5,17560,38.9,18.3,0.0
Manhattan,36061001800,29.8,55.1,59416,26.0,4.2,11.3
Manhattan,36061021100,33.4,63.7,53389,29.5,5.5,6.6
Manhattan,36061021600,32.5,76.7,46250,23.6,8.2,4.8
Manhattan,36061021900,40.7,86.0,19025,43.0,9.0,2.8
Manhattan,36061023700,41.1,78.3,37232,17.2,8.3,1.9
Manhattan,36061025100,39.4,68.6,28688,32.7,18.4,4.8
Manhattan,36061026700,36.1,50.4,39033,18.5,10.0,0.8
Manhattan,36061003700,24.5,56.2,129904,4.9,3.4,7.2
Manhattan,36061008601,24.6,35.4,142299,5.6,3.6,5.2
Manhattan,36061008603,26.1,25.0,142304,5.1,3.7,9.0
Manhattan,36061004400,29.7,58.1,93010,13.1,2.6,9.2
Manhattan,36061017200,32.0,72.5,35017,22.5,13.1,7.3
Manhattan,36061021303,36.9,71.6,37628,34.7,4.1,9.9
Manhattan,36061021500,31.2,71.9,33477,28.3,9.6,7.5
Manhattan,36061022700,35.6,77.8,47597,26.8,9.9,6.1
Manhattan,36061023100,39.0,81.7,45262,22.1,9.7,1.3
Manhattan,36061023801,37.0,79.6,86712,10.2,5.1,1.6
